Name,Short,Gender,Debut,Company,Members,Orig Member number,Fanclub Name,Active
AREAL,,Female,21/08/2020,JZ Factory,4,4,,No
ARGON,,Male,11/03/2019,MSH,6,6,A-Rang,Yes
Ariaz,,Female,23/10/2019,Rising Star,6,6,,No
ARTBEAT,,Female,16/11/2022,AB Creative,7,7,,Yes
ASTRO,,Male,23/02/2016,Fantagio,4,6,AROHA,Yes
ATBO,,Male,27/07/2022,IST,7,7,BOAT,Yes
ATEEZ,,Male,24/10/2018,KQ,8,8,,Yes
AWEEK,,Male,31/01/2019,Illusion,7,7,,Yes
B.A.P,BAP,Male,27/01/2012,TS,6,6,BABY,No
B.Heart,,Male,25/01/2017,Poong,4,4,,Yes
B.I.G,,Male,9/07/2014,GH,4,5,,Yes
B.O.Y,,Male,20/01/2020,Music Works,2,2,,Yes
B1A4,,Male,19/04/2010,WM,5,5,BANA,Yes
Baby V.O.X,,Female,5/07/1997,DR Music,5,5,,No
BABYMONSTER,,Female,,YG,7,7,,Pre-Debut
Badkiz,,Female,24/03/2014,Zoo,5,5,,No
BAE173,,Male,19/11/2020,PocketDol,9,9,,Yes
Be.A,,Male,25/05/2017,Chrome,3,5,,Yes
Beatwin,,Male,6/01/2014,Elen,2,6,,Hiatus
Berry Good,,Female,21/05/2014,Asia Bridge,6,5,,No
BESTie,,Female,11/07/2013,YNB,4,4,BESTiny,No
BIGBANG,,Male,19/08/2006,YG,4,5,VIP,Yes
Bigflo,,Male,19/07/2014,HO,5,5,,Yes
BIGSTAR,,Male,12/07/2012,Brave,5,5,,No
Billlie,,Female,10/11/2021,MYSTIC,7,6,,Yes
Black Level,,Male,26/02/2022,VT,2,6,WE.B,Hiatus
BLACK6IX,,Male,7/04/2017,BLACK HOLE,6,6,,Yes
BLACKPINK,,Female,8/08/2016,YG,4,4,,Yes
BlackSwan,,Female,16/10/2020,DR,5,5,,Yes
Blady,,Female,16/05/2011,Star Planet,5,4,Hi ade,No
Blanc7,,Male,3/03/2017,Jackpot,7,7,Prism,No
BLANK2Y,,Male,24/05/2022,Keystone,9,9,,Yes
Blastar,,Female,31/07/2020,VH,5,5,,No
Bling Bling,,Female,17/11/2020,Major9,6,6,,Yes
BLITZERS,,Male,12/05/2021,Wuzo,7,7,,Yes
BLK,,Male,28/11/2017,Byking,7,7,,No
